Raman_Shift,PC1,PC2
1801.26,0.023606399717960636,-0.03012331934248647
1797.41,0.023688650667231626,-0.03066608945074467
1793.55,0.02377711399199945,-0.030762403815066938
1789.69,0.024108944898021692,-0.03118347601357523
1785.84,0.02424812047818803,-0.03112880308186904
1781.98,0.024239672642304557,-0.031407475126966455
1778.12,0.024082259281524222,-0.031057877873318596
1774.26,0.023743048203710596,-0.030449684751402147
1770.41,0.0232407536982628,-0.026166129320424322
1766.55,0.022666085958091126,-0.017580865238593788
1762.69,0.02045592751982263,0.0031008504041682367
1758.84,0.01590845978488472,0.048225983919656705
1754.98,0.009239620421161776,0.11412716869579743
1751.12,0.0007240621796931199,0.1955304001223138
1747.27,-0.008180115405504573,0.2811443718857707
1743.41,-0.011500219363392829,0.3191300227316015
1739.55,-0.009353447448151166,0.3028575091312008
1735.69,-0.003632873315333042,0.2476373151201503
1731.84,0.0033656956395908045,0.18757929274531057
1727.98,0.0077245742749245784,0.16151700332843838
1724.12,0.011386787198268574,0.13655067964873072
1720.27,0.014843266878113267,0.10832467126789724
1716.41,0.0186979055794189,0.08245616530805194
1712.55,0.02250436882210783,0.06950314874268854
1708.69,0.025633732794192066,0.06252925129794772
1704.84,0.029716367691544846,0.05572162821044411
1700.98,0.034645808115710774,0.04874295526981822
1697.12,0.04115548981747304,0.04228486486366059
1693.27,0.046475242036428346,0.03707439606351888
1689.41,0.05027854661196978,0.03346212151629967
1685.55,0.05543117664320303,0.02604846294604819
1681.69,0.06555357129705473,0.013355330033706108
1677.84,0.07460430179855866,0.0034591724174289134
1673.98,0.08460673541783284,-0.0062336988493930596
1670.12,0.0975056000475188,-0.015730106405117964
1666.27,0.11065946774044089,-0.018609922285013937
1662.41,0.12433791725686431,-0.016100947169386412
1658.55,0.13715678663533618,-0.009962593474096596
1654.69,0.14497967370707232,-0.006060111845702133
1650.84,0.14949930428001404,-0.004702251844382132
1646.98,0.1470561072314291,-0.006724095313892843
1643.12,0.14228839650156602,-0.007755757379962885
1639.27,0.13672980469291807,-0.009110671173416919
1635.41,0.12667540328573043,-0.012908094996827652
1631.55,0.11820566764732647,-0.019266875240911568
1627.69,0.10893183191092723,-0.024850185169026297
1623.84,0.09808242567528871,-0.030181942707640144
1619.98,0.08943098723129822,-0.033733550067833136
1616.12,0.08234040612307386,-0.03636256026334432
1612.27,0.07724500915019797,-0.03906132943584638
1608.41,0.07378370895758135,-0.041002544638135484
1604.55,0.07117149291331316,-0.04249599710205864
1600.69,0.06985963894407296,-0.043374480603782
1596.84,0.06949649490799102,-0.044247021288068865
1592.98,0.07012285265223242,-0.04496774461942396
1589.12,0.07161266440019769,-0.04616107062101713
1585.27,0.07399461472101262,-0.047337755286113385
1581.41,0.07680785418097064,-0.049101559257116324
1577.55,0.0807881703407503,-0.05170792068318828
1573.69,0.08673552444935963,-0.05559181884322676
1569.84,0.09316267857907395,-0.05889339386195315
1565.98,0.10000636668876275,-0.06203258872538466
1562.12,0.10430014795727055,-0.06256128961128567
1558.27,0.10915760591833334,-0.05771298708595013
1554.41,0.1156212962665192,-0.05022013402176315
1550.55,0.1185132065226168,-0.042736333488755225
1546.7,0.11906519156966971,-0.03568801445781343
1542.84,0.11575142955625119,-0.03035765146183368
1538.98,0.11222312931566526,-0.02823001374778635
1535.12,0.10961623879506717,-0.029770341837709217
1531.27,0.10570780475841743,-0.03195709172384759
1527.41,0.10092557933984447,-0.034279712618159014
1523.55,0.09526318490250485,-0.03623993341954611
1519.7,0.08991120693725481,-0.03724792147284446
1515.84,0.0861251744534394,-0.0389781028575181
1511.98,0.08221970205352581,-0.04140111066311595
1508.12,0.07586458398043401,-0.044800550391737755
1504.27,0.07029436148004366,-0.04919224868050505
1500.41,0.06727490451619376,-0.050994741590748835
1496.55,0.06315130182535413,-0.05330156930532568
1492.7,0.05990307257733873,-0.055739207353431
1488.84,0.056880483351708006,-0.058969369057813005
1484.98,0.05531982731081385,-0.06102372588776575
1481.12,0.05459648628192604,-0.0611962598358497
1477.27,0.05378770508556797,-0.056265720327017786
1473.41,0.05205840400479111,-0.03159485381675418
1469.55,0.050830475769058046,0.007498929578235875
1465.7,0.05106962234336609,0.029336188517049933
1461.84,0.052630935132191366,0.031408819238856356
1457.98,0.05502182738348878,0.022181120021935237
1454.12,0.058765593943326214,0.007131431686845115
1450.27,0.05988585763946674,-0.004338435033371551
1446.41,0.059099656012611884,-0.013154536152255994
1442.55,0.05736742791392198,-0.018105983017645537
1438.7,0.054792148068399334,-0.022879784549493645
1434.84,0.05122960199725517,-0.02951476579609116
1430.98,0.04882344579286561,-0.03670942831071523
1427.13,0.04722004659012921,-0.043428198670192784
1423.27,0.046038755710464646,-0.04636805790158005
1419.41,0.04479176378002693,-0.044227414493473234
1415.55,0.044838926972731626,-0.04240223377819003
1411.7,0.04614176828606272,-0.04610489695429515
1407.84,0.047998351438435116,-0.052415733788292514
1403.98,0.04945522500246592,-0.05530110889964335
1400.13,0.0498974680403298,-0.0546679434758667
1396.27,0.04959781853260266,-0.05235640049148879
1392.41,0.049321486040044195,-0.05010904605119017
1388.56,0.04867102065023846,-0.04799362130497709
1384.7,0.047490018400390036,-0.04327550368445341
1380.84,0.04575728760174367,-0.03564108508223593
1376.98,0.043696360947369665,-0.03181374428574167
1373.13,0.041379722243505015,-0.03520058136883769
1369.27,0.039082879803733636,-0.03789907399833292
1365.41,0.03691806886629861,-0.038460083827373516
1361.56,0.03539838695560415,-0.03924284044624496
1357.7,0.03506000770955422,-0.0401994891305703
