Cluster 1	Cluster 2	Distancia	Elementos fusionados
260.0	786.0	0.12601881190442668	3.0
755.0	765.0	0.12660023364910458	4.0
236.0	268.0	0.12661517567394215	2.0
205.0	228.0	0.12713845266441182	2.0
291.0	787.0	0.12749399900032338	3.0
625.0	630.0	0.12787564835682777	2.0
311.0	389.0	0.12800445089444404	2.0
105.0	109.0	0.1283261971160867	2.0
446.0	457.0	0.12836083310929208	2.0
676.0	689.0	0.1285256609972879	2.0
27.0	178.0	0.12857902889331865	2.0
282.0	826.0	0.1286750707537165	3.0
200.0	204.0	0.1288155412068564	2.0
21.0	22.0	0.1290158319929231	2.0
568.0	574.0	0.1291655379245653	2.0
187.0	769.0	0.13053857349235962	3.0
648.0	814.0	0.13132695036308595	3.0
128.0	164.0	0.13238613114519995	2.0
708.0	766.0	0.13254155670106424	3.0
652.0	654.0	0.1328818995960699	2.0
89.0	114.0	0.1329319588808976	2.0
261.0	803.0	0.13314160417853071	3.0
68.0	80.0	0.13321982317025602	2.0
202.0	227.0	0.13322580480576657	2.0
645.0	721.0	0.1334119828693711	2.0
137.0	191.0	0.13370949362088105	2.0
146.0	188.0	0.1337979730760158	2.0
655.0	656.0	0.1346832470544931	2.0
665.0	667.0	0.13473922133351157	2.0
126.0	807.0	0.13484622786667994	3.0
233.0	240.0	0.1349899414009631	2.0
71.0	763.0	0.135199465518383	3.0
266.0	337.0	0.1356109270643638	2.0
513.0	806.0	0.13617702568885698	3.0
0.0	91.0	0.1364320960831244	2.0
216.0	319.0	0.13691224424888002	2.0
279.0	287.0	0.13696720317661212	2.0
30.0	104.0	0.13699020534298031	2.0
245.0	255.0	0.1370556594644779	2.0
702.0	704.0	0.13714217053708877	2.0
185.0	791.0	0.13753148181448133	3.0
277.0	306.0	0.13754733406764172	2.0
43.0	95.0	0.1376837092390705	2.0
107.0	627.0	0.1379390074807542	2.0
772.0	827.0	0.1381510614175966	4.0
217.0	313.0	0.13826595862197089	2.0
79.0	90.0	0.1384061838113624	2.0
197.0	206.0	0.13856644255584485	2.0
700.0	751.0	0.13879406743519643	3.0
106.0	830.0	0.1395721268215167	4.0
638.0	718.0	0.13967755647331043	2.0
169.0	171.0	0.13992349540771395	2.0
196.0	234.0	0.13997040766591232	2.0
223.0	224.0	0.14010926287607278	2.0
18.0	113.0	0.14022856313466137	2.0
209.0	320.0	0.14026809497342063	2.0
82.0	83.0	0.14029456644633226	2.0
635.0	650.0	0.14091782131985112	2.0
170.0	172.0	0.141026410019445	2.0
292.0	297.0	0.14113764716780328	2.0
431.0	450.0	0.14161886534378088	2.0
251.0	340.0	0.14189503310680684	2.0
39.0	44.0	0.1420150170761334	2.0
38.0	42.0	0.1422816400404507	2.0
583.0	588.0	0.14273886163768368	2.0
332.0	781.0	0.14283771503834303	3.0
661.0	662.0	0.14316639649748183	2.0
303.0	804.0	0.1434239039064547	3.0
52.0	771.0	0.1439060752049485	3.0
270.0	281.0	0.14392034308197948	2.0
701.0	777.0	0.14461171658446464	3.0
741.0	813.0	0.14475623367070609	4.0
437.0	475.0	0.14478654073782177	2.0
532.0	536.0	0.14479489460713685	2.0
208.0	232.0	0.14512386046333595	2.0
664.0	685.0	0.14549979504616217	2.0
28.0	816.0	0.14551832955717597	3.0
310.0	795.0	0.14580586391272493	3.0
346.0	349.0	0.14586226492099594	2.0
543.0	584.0	0.14624976380683408	2.0
57.0	825.0	0.1463963047802906	3.0
494.0	516.0	0.1466453445989115	2.0
715.0	761.0	0.14693238952045273	3.0
271.0	328.0	0.14696438358102026	2.0
363.0	370.0	0.14703014238056766	2.0
690.0	694.0	0.14707663806044072	2.0
237.0	238.0	0.148118207198556	2.0
48.0	64.0	0.1483064957993839	2.0
229.0	330.0	0.1486174993393544	2.0
156.0	190.0	0.14872065182682978	2.0
551.0	575.0	0.1489423108850697	2.0
53.0	762.0	0.14894693902561384	3.0
33.0	836.0	0.14897054219472705	3.0
100.0	907.0	0.14898391971149696	4.0
51.0	811.0	0.14922860117235057	3.0
213.0	215.0	0.14931333318095913	2.0
861.0	917.0	0.14938910681832368	4.0
345.0	377.0	0.1496160487501511	2.0
586.0	615.0	0.14967914643592	2.0
663.0	711.0	0.14972970653061396	2.0
333.0	343.0	0.14993239977293663	2.0
65.0	862.0	0.15004754154398434	4.0
198.0	331.0	0.15005214297668057	2.0
207.0	219.0	0.15024127348366187	2.0
728.0	849.0	0.15026627015758712	4.0
548.0	605.0	0.150273396203528	2.0
4.0	865.0	0.1503041567303703	3.0
517.0	527.0	0.15045884552849403	2.0
203.0	226.0	0.15049946047679447	2.0
591.0	616.0	0.15146669531859533	2.0
641.0	674.0	0.15150390375763226	2.0
1.0	3.0	0.15173866908617406	2.0
792.0	853.0	0.1520038060661786	4.0
634.0	793.0	0.15213303877840562	3.0
97.0	98.0	0.1522823886215921	2.0
675.0	693.0	0.15241683437750045	2.0
557.0	603.0	0.15252839611357755	2.0
714.0	850.0	0.15277592726110475	3.0
249.0	344.0	0.15313190317205194	2.0
724.0	726.0	0.15361597712413572	2.0
26.0	149.0	0.15369478669817974	2.0
