Raman Shift,ibuprofen,ibuprofen.,acetylsalicylic-acid,acetylsalicylic-acid.,paracetamol,paracetamol.
10067.0,3.0359728642882886e-06,-0.0002623131554736741,-0.002895223809626696,-0.00227441072339231,-0.0023357494564553885,-0.002614483247220181
10273.722481654437,-0.0005844511379230714,-0.00030781414342970887,-0.00013223210322408122,-0.00011419053767630757,-0.003286783581862228,-0.0035767985022897753
10480.444963308873,-0.00044389711030974046,-0.0005094125688131399,-0.003034161996422098,-0.002801262891535551,-0.0017124613675189105,-0.0013675171607296483
10687.167444963308,-0.000452014799558384,-0.00040803658697280626,-0.0010619281966403175,-0.0008737744206365502,-0.0004044092072230303,-3.0405462513999218e-05
10893.889926617745,-0.001201041762702671,-0.000765227436871415,-0.0005186627984962817,-0.00044154290946711106,0.0030133965018530077,0.003959078435761597
11100.612408272182,-0.002137926138922616,-0.0008170979626732341,-0.00026329765231931863,-0.0002765212258563103,0.000631559798225919,0.000754434735201249
11307.334889926618,-0.0011426123235329963,-0.000359510533645533,0.001099321648868349,0.0009291249712521857,-0.00035834237750213274,-0.0002497876652325109
11514.057371581053,0.001929838796287671,0.00035016252324753113,0.0025431165907183707,0.0020468448661465645,-0.0012225774663644988,-0.001215117726901215
11720.77985323549,0.0050022899161083646,0.0010598355801406012,0.003986911532568405,0.0031645647610409537,-0.0020868125552268727,-0.0021804477885699275
11927.502334889927,0.0026680349579335048,0.00033542692730531033,0.004948046066590955,0.003893366484403718,0.0010454052433713766,0.0015546200200040172
12134.224816544363,-0.0011800807287946783,-0.0007905201022377513,0.005774037201638791,0.004513272340669381,0.00529661730438441,0.006605784476275534
12340.9472981988,-0.0014919761809499765,-0.0004271072121791072,-0.00026882524298706557,-0.00017261024916650396,0.040349223353555286,0.048391633866354034
12547.669779853235,-3.427474218806203e-05,0.00016636367311802165,-0.013399001328228952,-0.010596378524753007,-0.006125255294469792,-0.00696466546067219
12754.392261507672,1.1970338979102257e-05,6.984795603385177e-05,-0.018536307635675014,-0.014715597394883892,-0.009784205142594746,-0.011558403157093838
12961.114743162108,-0.0003494918043808255,-0.00022597432912383576,-0.021364827889923624,-0.01701371118715572,-0.001075645134861301,-0.0014890852082331957
13167.837224816543,-0.0003051559402379809,-0.00041073243764710163,-0.01024519925285894,-0.008165940675994028,-0.023761118298306464,-0.02908341272599499
13374.55970647098,0.0003783552614831291,-0.0001519474341509882,-1.7841072664775333e-06,0.0002290020674594854,-0.0072514954994968624,-0.008258819791088357
13581.282188125417,-0.0002995964500163799,-0.0003447713650278787,0.0011528404005520594,0.0008400637365144567,0.00867722964692831,0.010403910886003695
13788.004669779853,-0.0003394158911043299,-0.0005036142225769059,-0.0008203385274835451,-0.0007441841950780211,-0.011967510347004301,-0.013992936353095137
13994.72715143429,-0.00038048030086341035,-0.00030938511810675644,0.000542200693478425,0.0002465186218668093,-0.0011892045818114867,-0.00110523468875747
14201.449633088727,-0.0003693263348211195,-0.0004254640962425,0.0019995917485803316,0.0015932659583473591,0.0005619280176824128,0.0010367398637912576
14408.172114743162,-0.000381657969697574,-0.00015084136019936703,-0.0005845495608555832,-0.0003199769622047923,-0.0001565367348983969,3.9258327468156455e-05
14614.894596397598,-0.0012937754154397384,-0.00046761335326344646,0.00025258339437097795,0.00027453376546263055,-0.0015781293473755538,-0.001683920280228285
14821.617078052033,-0.0006556541063921434,-0.0004327617105417163,-0.002028884141651425,-0.0017259086486790503,-0.0002531599728233147,-0.0002709379686400095
15028.33955970647,-0.002968048220455763,-0.028942553222305198,-0.007421707614648703,-0.00533879608245514,-0.00881016683660691,-0.009983110282043782
15235.062041360907,-0.01928082713114804,-0.017573622085988217,-0.001033156229491448,-0.0006699164081826565,-0.013362764107450315,-0.016292771325879963
15441.784523015343,-0.01664243646171656,-0.0124243137681294,0.0023334865229311334,0.001987551738773491,-0.01245039091875593,-0.014945113941519343
