eje_x,aspirin_ftir,aspirin_raman
74,1.5014324811638346e-07,
75,1.7279789766113037e-07,
76,1.986503327352218e-07,
77,2.2811732032163837e-07,
78,2.616647853366825e-07,
79,2.998128809174109e-07,
80,3.4314148448615866e-07,
81,3.922961429326464e-07,
82,4.4799448992640603e-07,
83,5.110331577803596e-07,
84,5.822952054023687e-07,
85,6.627580826399883e-07,
86,7.53502149748068e-07,
87,8.557197687090344e-07,
88,9.70724980718367e-07,
89,1.0999637812496628e-06,
90,1.2450250007152388e-06,
91,1.407651794804711e-06,
92,1.5897537440768572e-06,
93,1.7934195572873008e-06,
94,2.020930367219008e-06,
95,2.2747736014176043e-06,
96,2.5576574032362513e-06,
97,2.8725255709047627e-06,
98,3.2225729740036603e-06,
99,3.611261397710127e-06,
100,4.042335755528619e-06,
101,4.519840600923649e-06,
102,5.048136857399439e-06,
103,5.631918675115259e-06,
104,6.276230310207999e-06,
105,6.986482910600587e-06,
106,7.768471079372936e-06,
107,8.628389073774054e-06,
108,9.57284648483263e-06,
109,1.0608883229356511e-05,
110,1.1743983673055832e-05,
111,1.2986089690721092e-05,
112,1.4343612457011425e-05,
113,1.5825442749611938e-05,
114,1.7440959535517163e-05,
115,1.9200036601172985e-05,
116,2.1113046978370347e-05,
117,2.3190864910362728e-05,
118,2.5444865096871315e-05,
119,2.7886918952701576e-05,
120,3.0529387612831716e-05,
121,3.338511141727574e-05,
122,3.6467395612004075e-05,
123,3.978999200790432e-05,
124,4.336707634845101e-05,
125,4.721322114850373e-05,
126,5.134336378178101e-05,
127,5.577276961304444e-05,
128,6.051698999314626e-05,
129,6.559181496080701e-05,
130,7.101322052443586e-05,
131,7.679731043045129e-05,
132,8.296025236138823e-05,
133,8.951820854753564e-05,
134,9.648726081979306e-05,
135,0.0001038833301786,
136,0.0001117220910049,
137,0.0001200188800898,
138,0.0001287886007203,
139,0.0001380456221095,
140,0.0001478036745256,
141,0.0001580757405304,
142,0.000168873942801,
143,0.0001802094290691,
144,0.0001920922547745,
145,0.0002045312640863,
146,0.0002175339700057,
147,0.0002311064343163,
148,0.0002452531482025,
149,0.0002599769144009,
150,0.0002752787317929,
151,0.0002911576833853,
152,0.000307610828652,
153,0.0003246331012377,
154,0.0003422172130346,
155,0.0003603535656564,
156,0.0003790301703251,
157,0.0003982325771816,
158,0.0004179438150029,
159,0.0004381443422849,
160,0.0004588120106017,
161,0.0004799220411039,
162,0.0005014470149563,
163,0.0005233568784389,
164,0.0005456189633589,
165,0.0005681980233208,
166,0.0005910562863086,
167,0.0006141535239174,
168,0.0006374471374576,
169,0.0006608922610294,
170,0.000684441881534,
171,0.0007080469754535,
172,0.0007316566620926,
173,0.0007552183728326,
174,0.0007786780358078,
175,0.0008019802752713,
176,0.000825068624778,
177,0.0008478857531759,
178,0.0008703737022646,
179,0.0008924741348561,
180,0.0009141285918539,
181,0.0009352787568587,
182,0.0009558667267123,
183,0.0009758352863033,
184,0.0009951281858878,
185,0.001013690419117,
186,0.0010314684999217,
187,0.0010484107363732,
188,0.0010644674996312,
189,0.0010795914860899,
190,0.001093737970859,
191,0.0011068650507525,
192,0.0011189338750149,
193,0.0011299088620856,
194,0.0011397579007913,
195,0.0011484525344604,
196,0.0011559681265682,
197,0.0011622840066585,
198,0.001167383595425,
199,0.0011712545079961,
200,0.0011738886346263,
201,0.0011752821981727,
202,0.0011754357879106,
203,0.0011743543694261,
204,0.0011720472705085,
205,0.0011685281431499,
206,0.001163814901946,
207,0.0011579296393704,
208,0.0011508985185759,
209,0.0011427516445415,
210,0.0011335229145502,
211,0.0011232498491328,
212,0.0011119734047524,
213,0.0010997377696381,
214,0.0010865901442832,
215,0.0010725805082316,
216,0.0010577613748543,
217,0.0010421875358897,
218,0.001025915797571,
219,0.0010090047102014,
220,0.0009915142930528,
221,0.0009735057564663,
222,0.0009550412230166,
223,0.0009361834495709,
224,0.0009169955520265,
225,0.000897540734446,
226,0.0008778820242385,
227,0.0008580820149436,
228,0.0008382026180742,
229,0.0008183048253683,
230,0.0007984484826776,
231,0.0007786920765956,
232,0.0007590925347962,
233,0.0007397050409174,
234,0.0007205828646831,
235,0.0007017772078188,
236,0.000683337066171,
237,0.0006653091083058,
238,0.0006477375707186,
239,0.0006306641696618,
240,0.00061412802946,
241,0.0005981656270693,
242,0.0005828107525162,
243,0.000568094484747,
244,0.0005540451823225,
245,0.0005406884882997,
246,0.0005280473485679,
247,0.0005161420428341,
248,0.0005049902273962,
249,0.0004946069887934,
250,0.0004850049073864,
251,0.0004761941298912,
252,0.0004681824498742,
253,0.000460975395208,
254,0.0004545763214896,
255,0.0004489865104315,
256,0.0004442052722565,
257,0.000440230051153,
258,0.0004370565328783,
259,0.0004346787536402,
260,0.0004330892094301,
261,0.0004322789650284,
262,0.0004322377619602,
263,0.0004329541247328,
264,0.0004344154647458,
265,0.0004366081813271,
266,0.0004395177594071,
267,0.0004431288634066,
268,0.000447425426977,
269,0.0004523907382886,
270,0.0004580075206266,
271,0.0004642580081074,
272,0.0004711240163874,
273,0.0004785870082849,
274,0.0004866281542887,
275,0.0004952283879709,
276,0.0005043684563643,
277,0.0005140289654061,
278,0.0005241904205815,
279,0.0005348332629347,
280,0.0005459379006424,
281,0.0005574847363671,
282,0.0005694541906292,
283,0.0005818267214524,
284,0.0005945828405507,
285,0.0006077031263332,
286,0.0006211682340109,
287,0.0006349589030928,
288,0.0006490559625567,
289,0.0006634403339823,
290,0.0006780930329253,
291,0.0006929951688075,
292,0.0007081279435885,
293,0.000723472649474,
294,0.0007390106659053,
295,0.0007547234560596,
296,0.0007705925630801,
297,0.0007865996062369,
298,0.0008027262772071,
299,0.0008189543366449,
300,0.0008352656111982,
301,0.0008516419911114,
302,0.0008680654285369,
303,0.0008845179366654,
304,0.0009009815897662,
305,0.0009174385242139,
306,0.0009338709405666,
307,0.0009502611067418,
308,0.000966591362326,
309,0.0009828441240402,
310,0.0009990018923715,
311,0.0010150472593676,
312,0.0010309629175853,
313,0.0010467316701674,
314,0.0010623364420193,
315,0.0010777602920447,
316,0.0010929864263936,
317,0.0011079982126673,
318,0.0011227791950224,
319,0.0011373131101063,
320,0.0011515839037538,
321,0.0011655757483721,
322,0.0011792730609339,
323,0.0011926605215,
324,0.0012057230921863,
325,0.0012184460364929,
326,0.0012308149389066,
327,0.0012428157246934,
328,0.0012544346797906,
329,0.0012656584707153,
330,0.0012764741644007,
331,0.0012868692478768,
332,0.0012968316477108,
333,0.0013063497491255,
334,0.0013154124147157,
335,0.0013240090026849,
336,0.0013321293845265,
337,0.0013397639620771,
338,0.0013469036838726,
339,0.0013535400607405,
340,0.0013596651805643,
341,0.0013652717221621,
342,0.0013703529682224,
343,0.0013749028172443,
344,0.0013789157944353,
345,0.0013823870615212,
346,0.0013853124254286,
347,0.0013876883458027,
348,0.0013895119413306,
349,0.0013907809948402,
350,0.0013914939571531,
351,0.0013916499496714,
352,0.0013912487656841,
353,0.0013902908703823,
354,0.0013887773995782,
355,0.0013867101571233,
356,0.0013840916110317,
357,0.0013809248883112,
358,0.0013772137685157,
359,0.001372962676031,
360,0.0013681766711137,
361,0.001362861439705,
362,0.0013570232820446,
363,0.0013506691001149,
364,0.0013438063839474,
365,0.0013364431968279,
366,0.0013285881594393,
367,0.0013202504329841,
368,0.0013114397013315,
369,0.0013021661522369,
370,0.0012924404576828,
371,0.0012822737533943,
372,0.0012716776175824,
373,0.0012606640489727,
374,0.0012492454441746,
375,0.001237434574453,
376,0.0012252445619605,
377,0.0012126888554933,
378,0.0011997812058314,
379,0.0011865356407269,
380,0.0011729664396037,
381,0.0011590881080306,
382,0.0011449153520326,
383,0.0011304630523032,
384,0.001115746238379,
385,0.0011007800628404,
386,0.0010855797755985,
387,0.001070160698329,
388,0.0010545381991109,
389,0.0010387276673292,
390,0.0010227444888963,
391,0.0010066040218477,
392,0.0009903215723632,
393,0.0009739123712651,
394,0.0009573915510421,
395,0.0009407741234439,
396,0.0009240749576914,
397,0.0009073087593444,
398,0.0008904900498636,
399,0.0008736331469056,
400,0.0008567521453836,
401,0.0008398608993237,
402,0.0008229730045466,
403,0.0008061017821986,
404,0.0007892602631551,
405,0.0007724611733158,
406,0.0007557169198085,
407,0.0007390395781147,
408,0.0007224408801288,
409,0.0007059322031591,
410,0.0006895245598742,
411,0.0006732285892005,
412,0.0006570545481672,
413,0.0006410123046995,
414,0.0006251113313516,
415,0.0006093606999746,
416,0.000593769077307,
417,0.0005783447214761,
418,0.0005630954793965,
419,0.0005480287850475,
420,0.0005331516586115,
421,0.0005184707064525,
422,0.0005039921219126,
423,0.0004897216869019,
424,0.0004756647742565,
425,0.0004618263508372,
426,0.000448210981342,
427,0.0004348228327999,
428,0.0004216656797196,
429,0.0004087429098579,
430,0.0003960575305775,
431,0.0003836121757617,
432,0.0003714091132514,
433,0.0003594502527706,
434,0.0003477371543082,
435,0.000336271036919,
436,0.0003250527879122,
437,0.0003140829723908,
438,0.0003033618431099,
439,0.0002928893506182,
440,0.0002826651536505,
441,0.0002726886297375,
442,0.0002629588859998,
443,0.000253474770096,
444,0.0002442348812913,
445,0.0002352375816182,
446,0.0002264810070984,
447,0.0002179630789981,
448,0.0002096815150877,
449,0.0002016338408805,
450,0.0001938174008246,
451,0.0001862293694221,
452,0.0001788667622538,
453,0.0001717264468864,
454,0.0001648051536404,
455,0.0001580994862008,
456,0.00015160593205,
457,0.000145320872706,
458,0.0001392405937511,
459,0.0001333612946337,
460,0.0001276790982321,
461,0.0001221900601659,
462,0.0001168901778447,
463,0.0001117753992436,
464,0.000106841631398,
465,0.0001020847486071,
466,9.750060034304456e-05,
467,9.308501885733012e-05,
468,8.88338264822277e-05,
469,8.474284262231835e-05,
470,8.080789043474331e-05,
471,7.702480319644307e-05,
472,7.338943035800516e-05,
473,6.989764328456923e-05,
474,6.654534068508181e-05,
475,6.332845373199509e-05,
476,6.0242950874279235e-05,
477,5.728484234731798e-05,
478,5.445018438394299e-05,
479,5.173508313149202e-05,
480,4.913569828035128e-05,
481,4.664824640999709e-05,
482,4.426900405904621e-05,
483,4.199431052627926e-05,
484,3.98205704100136e-05,
485,3.774425589358638e-05,
486,3.576190878502811e-05,
487,3.387014231931464e-05,
488,3.206564273183156e-05,
489,3.0345170611915703e-05,
490,2.870556204551801e-05,
491,2.7143729556190868e-05,
492,2.5656662853719033e-05,
493,2.424142939981073e-05,
494,2.2895174800324267e-05,
495,2.16151230335456e-05,
496,2.0398576524046683e-05,
497,1.9242916071637316e-05,
498,1.8145600644896765e-05,
499,1.710416704872448e-05,
500,1.6116229475270257e-05,
501,1.5179478947532448e-05,
