Wavenumber,FTIR__aspirin_ftir,RAMAN__aspirin_raman
400.0,2.9090309995293873e-13,5.518790256408137e-07
401.0673782521681,3.6570674427690486e-13,6.54556901290843e-07
402.1347565043362,4.594003160681497e-13,7.74807581816017e-07
403.20213475650434,5.766333321541546e-13,9.153520617407745e-07
404.26951300867245,7.231643221132172e-13,1.0792820373815057e-06
405.33689126084056,9.061159205108293e-13,1.2701019977641172e-06
406.40426951300867,1.1342862804956459e-12,1.4917747750076501e-06
407.4716477651768,1.4185286852719045e-12,1.7487706369985717e-06
408.5390260173449,1.772213611588224e-12,2.0461199724313378e-06
409.606404269513,2.211790325396131e-12,2.3894695791484705e-06
410.6737825216811,2.7574684430316725e-12,2.785142520758604e-06
411.74116077384923,3.4340438631495973e-12,3.2402014633608757e-06
412.80853902601734,4.271898171194536e-12,3.7625153435744296e-06
413.87591727818545,5.308206161990501e-12,4.360829150742071e-06
414.94329553035357,6.588392658468167e-12,5.044836530051882e-06
416.0106737825217,8.168105642050264e-12,5.825318917584166e-06
417.0780520346898,1.0140928411171957e-11,6.721108192890411e-06
418.1454302868579,1.2573916148989502e-11,7.739709109355365e-06
419.212808539026,1.5570330473999013e-11,8.895588532653073e-06
420.2801867911941,1.925563842317412e-11,1.0204566404880194e-05
421.34756504336224,2.3782067871324413e-11,1.1683893441486863e-05
422.41494329553035,2.933404958702074e-11,1.3352326546299363e-05
423.48232154769846,3.6134708463177147e-11,1.5230200764145187e-05
424.5496997998666,4.445359424191218e-11,1.7339496467972437e-05
425.6170780520347,5.461587419561892e-11,1.9703900356876935e-05
426.6844563042028,6.701324734236111e-11,2.2348858725428788e-05
427.7518345563709,8.211688255042063e-11,2.530162135567955e-05
428.819212808539,1.0049273209096578e-10,2.8591274283981068e-05
429.88659106070713,1.22819628683455e-10,3.2248759608251476e-05
430.95396931287524,1.49910638793763e-10,3.6306880430662486e-05
432.02134756504336,1.8274641479057932e-10,4.080084666654929e-05
433.08872581721147,2.2296099608338123e-10,4.579607113578854e-05
434.1561040693796,2.7164240020145544e-10,5.130573237911866e-05
435.2234823215477,3.304896393058258e-10,5.7370012444033896e-05
436.2908605737158,4.0152508229993895e-10,6.403066207827138e-05
437.3582388258839,4.871524432471002e-10,7.133086863316855e-05
438.425617078052,5.902244801126586e-10,7.931509539125124e-05
439.49299533022014,7.141219020155643e-10,8.802889086914197e-05
440.56037358238825,8.628451916678504e-10,9.751866687279656e-05
441.62775183455636,1.0411212833548646e-09,0.00010783144435142015
442.6951300867245,1.2545272980821162e-09,0.00011901456640776398
443.7625083388926,1.5096338289370808e-09,0.00013111537817924953
444.8298865910607,1.814170593959904e-09,0.00014418087370019535
445.8972648432288,2.177217633668607e-09,0.00015825731029116426
446.9646430953969,2.6094256287158872e-09,0.0001733897914953032
448.03202134756503,3.1234406732774852e-09,0.00018962383867822722
449.09939959973315,3.740203565314326e-09,0.00020706634492582713
450.16677785190126,4.4724440206333325e-09,0.0002256926474795804
451.23415610406937,5.340548645975512e-09,0.0002455379242137794
452.3015343562375,6.368271297550528e-09,0.00026663360345110035
453.3689126084056,7.583247585148752e-09,0.00028900680719305205
454.4362908605737,9.01758084885081e-09,0.0003126797866756825
455.5036691127418,1.07085083719743e-08,0.00033766935581210116
456.57104736490993,1.2699157487461228e-08,0.0003639863285712932
457.63842561707804,1.5039402192498626e-08,0.00039163496678150926
458.70580386924615,1.778683190827146e-08,0.00042061244522722955
459.77318212141427,2.1007845108113488e-08,0.00045090834121772674
460.8405603735824,2.4778881686796798e-08,0.0004825041560367265
461.9079386257505,2.9187809154099955e-08,0.0005153728758203388
